PROJECT_ID,SAMPLE_ID,env_feature_input_by_investigator,env_material,env_material_input_by_investigator,FLAT_VAR_KEY,FLAT_VAR_VALUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,longitude,10.108177
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,blank_or_control,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,enrichment,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,include,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,pH,6.86
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,temperature,null
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,pH_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,temperature_input_by_investigator,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,env_biome,marine biome
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,env_biome_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,env_feature,borehole
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,TRUE,sediment,TRUE,env_feature_input_by_investi,null
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,latitude,55.463252
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,longitude,15.474324
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,blank_or_control,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,enrichment,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,include,TRUE
