SAMPLE_ID,LATITUDE,LONGITUDE
DCO_GAI--S3,64.49,-17.51
DCO_GAI--S4,64.88,-17.50915
DCO_GAI--S5,64.88,-17.50915
DCO_GAI--S6,64.88,-17.50915
DCO_GAI--S7,64.88,-17.50915
DCO_LAV--Wallulua_2009_213,46.105324,-118.916359
DCO_LAV--Wallulua_2009_220,46.105324,-118.916359
DCO_LAV--Wallulua_2009_31,46.105324,-118.916359
DCO_LAV--Wallulua_2009_39,46.105324,-118.916359
DCO_LAV--Wallulua_2009_413,46.105324,-118.916359
DCO_LAV--Wallulua_2011_34,46.1,-118.916359
DCO_LOIH--J672black,18.906,-155.257
DCO_LOIH--J672yellow,18.906,-155.257
DCO_LOIH--J674black,18.906,-155.257
DCO_LOIH--J675yellow,18.906,-155.257
DCO_LOIH--J676black,18.906,-155.257
DCO_LOIH--J676red,18.906,-155.257
DCO_MOS--BLM_1A,36.40116667,-116.468
DCO_MOS--BLM_1B,36.40116667,-116.468
DCO_MOS--Bilby_DNA2_280312,37.06,-116.02
DCO_MOS--ER_EC_11,37.2,-116.48
DCO_MOS--KC_1_12_10_SW2,48.2748,-81.1438
DCO_MOS--KC_7850_SWA,48.2748,-81.1438
DCO_MOS--KC_L7850_B_MF,48.2748,-81.1438
DCO_MOS--Nevares_DW2B,36.5073,-116.81967
DCO_MOS--U12N_10_tunnel,37.21,-116.21
DCO_ONS--A_BE326FW010813_cap,-28.24,26.796
DCO_ONS--A_BE326FW080813_cap,-28.24,26.796
DCO_ONS--A_BE326FW150813MF,-28.24,26.796
DCO_ONS--A_BE326FW150813_cap,-28.24,26.796
DCO_ONS--A_BE326FW250111,-28.24,26.796
DCO_ONS--A_BE326FW270712,-28.24,26.796
DCO_ONS--A_DR5IPC280513,-26.42,27.504
DCO_ONS--A_DR5IPC280711,-26.42,27.504
DCO_ONS--B_BE326FW010813_cap,-28.24,26.796
DCO_ONS--B_BE326FW010813_cap_2,-28.24,26.796
DCO_ONS--B_BE326FW080813_cap,-28.24,26.796
DCO_ONS--B_BE326FW080813_cap_2,-28.24,26.796
DCO_ONS--B_BE326FW150813_MF,-28.24,26.796
DCO_ONS--B_BE326FW150813_MF_2,-28.24,26.796
DCO_ONS--B_BE326FW150813_cap,-28.24,26.796
DCO_ONS--B_BE326FW150813_cap_2,-28.24,26.796
DCO_ONS--B_BE326FW250111,-28.24,26.796
DCO_ONS--B_BE326FW270712,-28.24,26.796
DCO_ONS--B_DR5IPC280513,-26.42,27.504
DCO_ONS--B_DR5IPC280711,-26.42,27.504
DCO_TCO--BE326FW120711BH2,-28.24,26.8
DCO_TCO--BE326FW250111BH2,-28.24,26.8
DCO_TCO--BE326FW270712BH2,-28.24,26.8
DCO_TCO--DR5IPCFW280711,-26.42,27.5
DCO_TCO--FI88FW031012,-28.38,23.45
DCO_TCO--MM51940FW200712,-27.98,26.88
DCO_TCO--NO14FW130912,-24.83,27.34
