PROJECT_ID,SAMPLE_ID,latitude,longitude,latitude_longitude_input_by_investigator,blank_or_control,enrichment,include,pH,temperature,pH_input_by_investigator,temperature_input_by_investigator,env_biome,env_biome_input_by_investigator,env_feature,env_feature_input_by_investigator,env_material,env_material_input_by_investigator
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,61.24,21.44,TRUE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,terrestrial biome,TRUE,borehole,TRUE,water,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,61.24,21.44,TRUE,FALSE,FALSE,TRUE,7.4,10.5,TRUE,TRUE,terrestrial biome,TRUE,borehole,TRUE,water,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,61.24,21.44,TRUE,FALSE,FALSE,TRUE,7.9,10.8,TRUE,TRUE,terrestrial biome,TRUE,borehole,TRUE,water,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,61.24,21.44,TRUE,FALSE,FALSE,TRUE,7.9,9.5,TRUE,TRUE,terrestrial biome,TRUE,borehole,TRUE,water,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,61.24,21.44,TRUE,FALSE,FALSE,TRUE,7.7,10.6,TRUE,TRUE,terrestrial biome,TRUE,borehole,TRUE,water,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,61.24,21.44,TRUE,FALSE,FALSE,TRUE,8.1,12,TRUE,TRUE,terrestrial biome,TRUE,borehole,TRUE,water,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_1,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,7.43,6,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_2,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,null,8.8,FALSE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_3,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,6.97,17,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_4,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,7.18,21,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_2_10,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,null,52,FALSE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_2_3,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,6.77,33,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_1_1,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,7.38,6,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_1_3,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,6.89,15,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_1_4,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,6.94,19,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_2_1,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,7.51,27,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_2_2,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,6.64,33,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_2_3,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,7.01,38,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_1,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,7.43,6,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_2,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,null,8.8,FALSE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_3,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,6.97,17,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_4,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,7.18,21,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_2_10,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,null,52,FALSE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_2_3,27.790218,126.900747,TRUE,FALSE,FALSE,TRUE,6.77,33,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_1_1,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,7.38,6,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_1_3,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,6.89,15,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
