PROJECT_ID,SAMPLE_ID,blank_or_control,dna_region,domain,env_biome,env_feature,env_material,latitude,longitude
DCO_WAL,DCO_WAL_Bv6v4--Bering_1_Bv6v4,FALSE,v6v4,Bacteria,"marine biome",borehole,sediment,58.7,-178.56
DCO_WAL,DCO_WAL_Bv6v4--Bering_2_Bv6v4,FALSE,v6v4,Bacteria,"marine biome",borehole,sediment,58.7,-178.56
DCO_WAL,DCO_WAL_Bv6v4--Bering_3_Bv6v4,FALSE,v6v4,Bacteria,"marine biome",borehole,sediment,58.7,-178.56
DCO_WAL,DCO_WAL_Bv6v4--Bering_4_Bv6v4,FALSE,v6v4,Bacteria,"marine biome",borehole,sediment,58.7,-178.56
DCO_WAL,DCO_WAL_Bv6v4--Bering_5_Bv6v4,FALSE,v6v4,Bacteria,"marine biome",borehole,sediment,58.7,-178.56
DCO_WAL,DCO_WAL_Bv6v4--Bering_6_Bv6v4,FALSE,v6v4,Bacteria,"marine biome",borehole,sediment,58.7,-178.56
DCO_WAL,DCO_WAL_Bv6v4--Bering_7_Bv6v4,FALSE,v6v4,Bacteria,"marine biome",borehole,sediment,58.7,-178.56
DCO_WAL,DCO_WAL_Bv6v4--Bering_8_Bv6v4,FALSE,v6v4,Bacteria,"marine biome",borehole,sediment,58.7,-178.56
DCO_WAL,DCO_WAL_Av6v4--BS_1A,FALSE,v6v4,Archaea,"marine biome",borehole,sediment,58.70444,-178.56417
DCO_WAL,DCO_WAL_Av6v4--BS_2A,FALSE,v6v4,Archaea,"marine biome",borehole,sediment,58.70444,-178.56417
DCO_WAL,DCO_WAL_Av6v4--BS_3A,FALSE,v6v4,Archaea,"marine biome",borehole,sediment,58.70444,-178.56417
DCO_WAL,DCO_WAL_Av6v4--BS_4A,FALSE,v6v4,Archaea,"marine biome",borehole,sediment,58.70444,-178.56417
DCO_WAL,DCO_WAL_Av6v4--BS_5.5A,FALSE,v6v4,Archaea,"marine biome",borehole,sediment,58.70444,-178.56417
DCO_WAL,DCO_WAL_Av6v4--BS_5A,FALSE,v6v4,Archaea,"marine biome",borehole,sediment,58.70444,-178.56417
DCO_WAL,DCO_WAL_Av6v4--BS_6A,FALSE,v6v4,Archaea,"marine biome",borehole,sediment,58.70444,-178.56417
DCO_WAL,DCO_WAL_Av6v4--BS_7.5A,FALSE,v6v4,Archaea,"marine biome",borehole,sediment,58.70444,-178.56417
DCO_WAL,DCO_WAL_Av6v4--BS_7A,FALSE,v6v4,Archaea,"marine biome",borehole,sediment,58.70444,-178.56417
DCO_WAL,DCO_WAL_Av6v4--BS_8A,FALSE,v6v4,Archaea,"marine biome",borehole,sediment,58.70444,-178.56417
DCO_TCO,DCO_TCO_Bv6--BE326FW120711BH2,FALSE,v6,Bacteria,"terrestrial biome",borehole,water,-28.24,26.8
DCO_TCO,DCO_TCO_Bv6--BE326FW250111BH2,FALSE,v6,Bacteria,"terrestrial biome",borehole,water,-28.24,26.8
DCO_TCO,DCO_TCO_Bv6--BE326FW270712BH2,FALSE,v6,Bacteria,"terrestrial biome",borehole,water,-28.24,26.8
DCO_TCO,DCO_TCO_Bv6--DR5IPCFW280711,FALSE,v6,Bacteria,"terrestrial biome",borehole,water,-26.42,27.5
DCO_TCO,DCO_TCO_Bv6--FI88FW031012,FALSE,v6,Bacteria,"terrestrial biome",borehole,water,-28.38,23.45
DCO_TCO,DCO_TCO_Bv6--MM51940FW200712,FALSE,v6,Bacteria,"terrestrial biome",borehole,water,-27.98,26.88
DCO_TCO,DCO_TCO_Bv6--NO14FW130912,FALSE,v6,Bacteria,"terrestrial biome",borehole,water,-24.83,27.34
DCO_TCO,DCO_TCO_Bv6--TT109FW060311BH2,FALSE,v6,Bacteria,"terrestrial biome",borehole,water,-26.42,27.43
DCO_TAS,DCO_TAS_Bv4v5--S1_10,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S1_30,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S2_10,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S2_30,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S3_10,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S3_30,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S4_10,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S4_30,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S5_10,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S5_30,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S6_,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Bv4v5--S7_,FALSE,v4v5,Bacteria,"terrestrial biome","volcanic crater",sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S1_10,FALSE,v4v5,Archaea,"terrestrial biome",volcano,sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S1_30,FALSE,v4v5,Archaea,"terrestrial biome",volcano,sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S2_10,FALSE,v4v5,Archaea,"terrestrial biome",volcano,sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S2_30,FALSE,v4v5,Archaea,"terrestrial biome",volcano,sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S3_10,FALSE,v4v5,Archaea,"terrestrial biome",volcano,sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S3_30,FALSE,v4v5,Archaea,"terrestrial biome",volcano,sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S4_10,FALSE,v4v5,Archaea,"terrestrial biome",volcano,sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S4_30,FALSE,v4v5,Archaea,"terrestrial biome",volcano,sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S5_10,FALSE,v4v5,Archaea,"terrestrial biome",volcano,sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S5_30,FALSE,v4v5,Archaea,"terrestrial biome",volcano,sediment,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S6_,FALSE,v4v5,Archaea,"terrestrial biome",volcano,mud,40.827049,14.141238
DCO_TAS,DCO_TAS_Av4v5--S7_,FALSE,v4v5,Archaea,"terrestrial biome",volcano,mud,40.827049,14.141238
DCO_SYL,DCO_SYL_Bv6v4--1373_DF_Bac,FALSE,v6v4,Bacteria,"drilling bore water",borehole,water,-28.596,-173.28
DCO_SYL,DCO_SYL_Bv6v4--1374_14R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-28.596,-173.381
DCO_SYL,DCO_SYL_Bv6v4--1374_20R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-28.596,-173.381
DCO_SYL,DCO_SYL_Bv6v4--1374_27R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-28.596,-173.381
DCO_SYL,DCO_SYL_Bv6v4--1374_31R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-28.596,-173.381
DCO_SYL,DCO_SYL_Bv6v4--1374_38R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-28.596,-173.381
DCO_SYL,DCO_SYL_Bv6v4--1374_52R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-28.596,-173.381
DCO_SYL,DCO_SYL_Bv6v4--1374_58R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-28.596,-173.381
DCO_SYL,DCO_SYL_Bv6v4--1374_68R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-28.596,-173.381
DCO_SYL,DCO_SYL_Bv6v4--1374_8R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-28.596,-173.381
DCO_SYL,DCO_SYL_Bv6v4--1376_04R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-32.217,-171.881
DCO_SYL,DCO_SYL_Bv6v4--1376_07R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-32.217,-171.881
DCO_SYL,DCO_SYL_Bv6v4--1376_16R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-32.217,-171.881
DCO_SYL,DCO_SYL_Bv6v4--1376_17R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-32.217,-171.881
DCO_SYL,DCO_SYL_Bv6v4--1376_19R_Bac,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-32.217,-171.881
DCO_SYL,DCO_SYL_Bv6v4--1376_23R,FALSE,v6v4,Bacteria,"marine biome",borehole,rock,-32.217,-171.881
DCO_SHER,DCO_SHER_Bv4v5--Kidd_Creek_SW_2015,FALSE,v4v5,Bacteria,"terrestrial biome",mine,water,48.46,-81.27
DCO_RUS,DCO_RUS_Bv4v5--4_D,FALSE,v4v5,Bacteria,"marine biome","continental margin",sediment,37.646,10.273
DCO_RUS,DCO_RUS_Bv4v5--6_D,FALSE,v4v5,Bacteria,"marine biome","continental margin",sediment,37.646,10.273
DCO_RUS,DCO_RUS_Bv4v5--6_H,FALSE,v4v5,Bacteria,"marine biome","continental margin",sediment,37.646,10.273
DCO_RUS,DCO_RUS_Bv4v5--8_D,FALSE,v4v5,Bacteria,"marine biome","continental margin",sediment,37.646,10.273
DCO_RUS,DCO_RUS_Bv4v5--O_12,FALSE,v4v5,Bacteria,"marine biome",estuary,sediment,38.7,-75.16
DCO_RUS,DCO_RUS_Bv4v5--O_3,FALSE,v4v5,Bacteria,"marine biome",estuary,sediment,38.7,-75.16
DCO_RUS,DCO_RUS_Av4v5--O_12,FALSE,v4v5,Archaea,"marine biome",estuary,sediment,38.7,-75.16
DCO_RUS,DCO_RUS_Av4v5--O_3,FALSE,v4v5,Archaea,"marine biome",estuary,sediment,38.7,-75.16
DCO_RAM,DCO_RAM_Bv6v4--MSM16_2_809_1_MUC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.003,14.732
DCO_RAM,DCO_RAM_Bv6v4--MSM16_2_823_1_MUC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.003,14.732
DCO_RAM,DCO_RAM_Bv6v4--MSM16_2_838_1_MUC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.005,14.726
DCO_RAM,DCO_RAM_Bv6v4--MSM16_2_847_1_MUC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.004,14.727
DCO_RAM,DCO_RAM_Bv6v4--MSM16_2_855_1_MUC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.004,14.73
DCO_RAM,DCO_RAM_Bv6v4--PS64_312_1_MUC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.004,14.725
DCO_RAM,DCO_RAM_Bv6v4--PS64_317_PUC_17,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.003,14.731
DCO_RAM,DCO_RAM_Bv6v4--PS64_326_PUC_12,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.001,14.719
DCO_RAM,DCO_RAM_Bv6v4--PS64_332_1_GC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.005,14.726
DCO_RAM,DCO_RAM_Bv6v4--PS64_336_1_GC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.0,14.726
DCO_RAM,DCO_RAM_Bv6v4--PS64_371_1_GC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.003,14.731
DCO_RAM,DCO_RAM_Bv6v4--PS64_372_1_GC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.004,14.727
DCO_RAM,DCO_RAM_Bv6v4--PS64_373_1_GC,FALSE,v6v4,Bacteria,"marine biome",volcano,sediment,72.003,14.728
