PROJECT_ID,SAMPLE_ID,blank_or_control,dna_region,domain,enrichment,env_biome,env_feature,env_material,geohydroconnectivity,latitude,longitude,ph,temperature
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_3,FALSE,v6,Archaea,FALSE,"marine biome","hydrothermal vent",sediment,high,27.790218,126.900747,6.97,17
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_4,FALSE,v6,Archaea,FALSE,"marine biome","hydrothermal vent",sediment,high,27.790218,126.900747,7.18,21
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_2_10,FALSE,v6,Archaea,FALSE,"marine biome","hydrothermal vent",sediment,high,27.790218,126.900747,6.94,52
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_2_3,FALSE,v6,Archaea,FALSE,"marine biome","hydrothermal vent",sediment,high,27.790218,126.900747,6.77,33
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_1_1,FALSE,v6,Archaea,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,7.38,6
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_1_3,FALSE,v6,Archaea,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,6.89,15
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_1_4,FALSE,v6,Archaea,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,6.94,19
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_2_1,FALSE,v6,Archaea,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,7.51,27
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_2_2,FALSE,v6,Archaea,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,6.64,33
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_2_3,FALSE,v6,Archaea,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,7.01,38
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_1,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.790218,126.900747,7.43,6
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_2,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.790218,126.900747,7.2,8.8
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_3,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.790218,126.900747,6.97,17
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_4,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.790218,126.900747,7.18,21
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_2_10,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.790218,126.900747,6.94,52
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_2_3,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.790218,126.900747,6.77,33
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_1_1,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,7.38,6
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_1_3,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,6.89,15
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_1_4,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,6.94,19
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_2_1,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,7.51,27
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_2_2,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,6.64,33
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_2_3,FALSE,v6,Bacteria,FALSE,"marine biome","hydrothermal vent",sediment,high,27.79026,126.900677,7.01,38
DCO_BRG,DCO_BRG_Av6v4--Site17A_447mbsf,FALSE,v6v4,Archaea,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.2,14.4
DCO_BRG,DCO_BRG_Av6v4--Site17A_456mbsf_Av6v,FALSE,v6v4,Archaea,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.2,14.6
DCO_BRG,DCO_BRG_Bv6v4--Site17A_178mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.8,9
DCO_BRG,DCO_BRG_Bv6v4--Site17A_21mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.7,5.9
DCO_BRG,DCO_BRG_Bv6v4--Site17A_226mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.4,10
DCO_BRG,DCO_BRG_Bv6v4--Site17A_264mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.7,10.8
DCO_BRG,DCO_BRG_Bv6v4--Site17A_322mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.7,11.9
DCO_BRG,DCO_BRG_Bv6v4--Site17A_322mbsf_MDA,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.7,11.9
DCO_BRG,DCO_BRG_Bv6v4--Site17A_40mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.8,6.3
DCO_BRG,DCO_BRG_Bv6v4--Site17A_419mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.2,13.9
DCO_BRG,DCO_BRG_Bv6v4--Site17A_447mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.2,14.4
DCO_BRG,DCO_BRG_Bv6v4--Site17A_456mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.2,14.6
DCO_BRG,DCO_BRG_Bv6v4--Site17A_554mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.3,16.6
