PROJECT_ID,SAMPLE_ID,blank_or_control,dna_region,domain,enrichment,env_biome,env_feature,env_material,latitude,longitude
DCO_BRZ,DCO_BRZ_Bv4v5--N08Bb_Aug12,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86201,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--N08Bc_Aug12,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86201,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--N08C_A_Aug13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86202,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--N08C_A_Dec13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86202,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--N1A_Aug12,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.882,-122.478
DCO_BRZ,DCO_BRZ_Bv4v5--N5A_Aug12,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.871,-122.428
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_8A_Apr11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_8A_Aug11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_8B_AprC11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86201,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_8B_AprD11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86201,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW11ABCD_Jun12_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW1_1A_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW1_2A_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW1_3B_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW1_4A_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW1_5A_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW_Aug11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86193,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWold2_Jul11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86193,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWold3_Jul11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86193,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWoldA_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86193,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWoldB_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86193,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWoldT0_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86193,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWold_11_11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86193,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWwell_Aug11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86193,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08AB_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08A_Apr11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08A_Aug11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08BA_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86201,-122.43
